Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name
Pentadecane,HMDB0059886,C08388,True,Pentadecane
"Propanoic acid, propyl ester",HMDB0030059,,True,"Propanoic acid, propyl ester"
2-Methyl-3-heptanone,HMDB0032402,,True,2-Methyl-3-heptanone
"Di(1,2,5-oxadiazolo)[3,4-b:3,4-E]pyrazine, 4,8-diacetyl-",,,True,"Di(1,2,5-oxadiazolo)[3,4-b:3,4-E]pyrazine, 4,8-diacetyl-"
Linalyl acetate,HMDB0039522,C09863,True,Linalyl acetate
"Hexanoic acid, methyl ester",HMDB0035238,,True,"Hexanoic acid, methyl ester"
"Cyclohexanecarboxylic acid, methyl ester",HMDB0031343,,True,"Cyclohexanecarboxylic acid, methyl ester"
"Heptane, 2,2,4,6,6-pentamethyl-",,,True,"Heptane, 2,2,4,6,6-pentamethyl-"
"2-Bromomethyl-1,3-dioxolane",,,True,"2-Bromomethyl-1,3-dioxolane"
1-Heptadecyne,,,True,1-Heptadecyne
Hexanoic acid,HMDB0000535,C01585,True,Hexanoic acid
2-Nonanol,HMDB0033916,,True,2-Nonanol
Methyl 3-phenylpropanoate,HMDB0030060,,True,Methyl 3-phenylpropanoate
Carbon disulfide,HMDB0036574,C19033,True,Carbon disulfide
Dodecane,HMDB0031444,C08374,True,Dodecane
"Thiophene, 2-pentyl-",HMDB0040240,,True,"Thiophene, 2-pentyl-"
"Butanoic acid, propyl ester",HMDB0039618,,True,"Butanoic acid, propyl ester"
"2-Octenal, (E)-",HMDB0013809,C21138,True,"2-Octenal, (E)-"
Octanal,HMDB0001140,C01545,True,Octanal
Mequinol,HMDB0029696,,True,Mequinol
Tetradecanal,HMDB0034283,,True,Tetradecanal
2-Piperidinone,HMDB0011749,,True,2-Piperidinone
"2,4-Imidazolidinedione, 1-methyl-",HMDB0003646,C02565,True,"2,4-Imidazolidinedione, 1-methyl-"
"1-Propanol, 2-methyl-",HMDB0006006,C14710,True,"1-Propanol, 2-methyl-"
"1-Propanone, 1-cyclopropyl-",,,True,"1-Propanone, 1-cyclopropyl-"
973_unknown,,,True,973_unknown
1105_unknown,,,True,1105_unknown
"(S)-3,4-Dimethylpentanol",,,True,"(S)-3,4-Dimethylpentanol"
"5-Tetradecene, (E)-",,,True,"5-Tetradecene, (E)-"
Octadecanol,HMDB0002350,D01924,True,Octadecanol
"1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-",,,True,"1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-"
875_unknown,,,True,875_unknown
1-Tetradecanol,HMDB0011638,,True,1-Tetradecanol
"1-Heptanol, 3-methyl-",,,True,"1-Heptanol, 3-methyl-"
Benzyl methyl ketone,,C15512,True,Benzyl methyl ketone
Benzyl alcohol,HMDB0003119,C03485,True,Benzyl alcohol
Myrcene,HMDB0038169,C06074,True,Myrcene
"Butanoic acid, 3-methylbutyl ester",HMDB0040221,,True,"Butanoic acid, 3-methylbutyl ester"
Dimethyl sulfone,HMDB0004983,C11142,True,Dimethyl sulfone
882_unknown,,,True,882_unknown
"Oxime-, methoxy-phenyl-_",,,True,"Oxime-, methoxy-phenyl-_"
"Carbamic acid, (2,4-difluorophenyl)-, 5-methyl-2-(1-methylethyl)phenyl ester",,,True,"Carbamic acid, (2,4-difluorophenyl)-, 5-methyl-2-(1-methylethyl)phenyl ester"
Acetonitrile,HMDB0061869,,True,Acetonitrile
"Butanoic acid, butyl ester",HMDB0039620,,True,"Butanoic acid, butyl ester"
